time,p1,p2,p3
1980-01-01,-72.00635,-133.49902,-3.059082
1980-01-02,-50.407227,-129.71582,-6.194824
1980-01-03,-169.20752,-234.95801,-12.027344
1980-01-04,-121.55029,-266.81836,-14.938965
1980-01-05,-55.006348,-176.00293,-13.911133
1980-01-06,4.347168,-81.15039,-9.098145
1980-01-07,-25.4917,33.394043,-0.6357422
1980-01-08,-39.15674,-18.004395,4.555664
1980-01-09,-16.660156,-15.266602,5.291504
1980-01-10,-86.58838,36.208008,14.745605
1980-01-11,-23.670898,14.953125,15.905762
1980-01-12,34.78955,-65.3291,16.598145
1980-01-13,-23.674805,37.327637,4.4038086
1980-01-14,19.356934,126.88086,1.4902344
1980-01-15,79.262695,92.55371,5.60791
1980-01-16,-117.79443,113.259766,-3.4160156
1980-01-17,-115.21094,90.80664,-11.010742
1980-01-18,-94.643555,19.420898,-17.458984
1980-01-19,-162.16162,34.958008,-19.399902
1980-01-20,-158.0708,38.211426,-19.683105
1980-01-21,22.725586,-23.755371,-14.167969
1980-01-22,126.31445,65.836914,-8.561523
1980-01-23,80.5166,84.90625,1.0981445
1980-01-24,-37.9834,146.73047,-5.2319336
1980-01-25,96.43213,124.54199,-5.3535156
1980-01-26,77.026855,173.59766,-2.369629
1980-01-27,-12.660645,45.41504,6.852051
1980-01-28,-54.614258,-28.32959,3.7402344
1980-01-29,-61.319824,29.309082,-3.8862305
1980-01-30,-66.444824,44.228027,-5.272461
1980-01-31,84.60693,3.6049805,-6.34375
1980-02-01,136.95361,2.4907227,-10.100586
1980-02-02,-6.2109375,74.39697,-20.245117
1980-02-03,-125.13721,119.88721,-18.197266
1980-02-04,-159.82324,159.05713,-13.558594
1980-02-05,-212.47852,79.01807,-5.477051
1980-02-06,-88.586914,-22.513184,-0.056152344
1980-02-07,-281.63818,-154.96973,-7.2373047
1980-02-08,-266.66797,-209.39795,-8.361816
1980-02-09,-226.46387,-245.39697,-8.813477
1980-02-10,-90.73828,-389.36035,-13.42041
1980-02-11,-213.60303,-154.47754,-14.828125
1980-02-12,-134.38477,-35.703613,-9.228027
1980-02-13,-143.28418,16.658691,0.22558594
1980-02-14,-139.44043,-91.28418,9.69043
1980-02-15,-173.41895,-184.54834,12.55127
1980-02-16,-101.65039,-28.620117,8.431152
1980-02-17,-54.441406,12.842285,21.078613
1980-02-18,-94.86865,36.08008,22.868652
1980-02-19,-199.19287,112.88867,19.635742
1980-02-20,-198.78223,56.56787,13.8203125
1980-02-21,-242.5957,73.2041,6.9716797
1980-02-22,-203.9917,-26.721191,4.1557617
1980-02-23,-294.08838,-70.68115,5.5458984
1980-02-24,-276.77783,-98.9751,1.6586914
1980-02-25,-102.08301,-46.384277,4.185547
1980-02-26,-182.67578,-127.353516,1.6953125
1980-02-27,-157.03223,-202.99512,3.1694336
1980-02-28,2.3769531,10.700195,-0.03173828
1980-02-29,6.3945312,-15.57373,-2.9941406
1980-03-01,-136.78809,-36.271484,-5.9106445
1980-03-02,24.65332,15.423828,-4.07666
1980-03-03,95.81885,2.253418,-4.1601562
1980-03-04,4.487793,69.296875,-1.046875
1980-03-05,15.54248,53.90039,-1.1484375
1980-03-06,-17.523926,-7.820801,-12.964355
1980-03-07,-114.02637,-211.96143,-15.344727
1980-03-08,-73.07471,-99.63086,-23.073242
1980-03-09,110.54443,21.86621,-18.592285
1980-03-10,88.29199,77.37207,-21.170898
1980-03-11,132.19238,105.84375,-13.251465
1980-03-12,152.1753,98.36084,-11.206543
1980-03-13,154.92334,54.57666,-19.180176
1980-03-14,34.725098,12.939453,-16.911133
1980-03-15,53.7666,-19.513672,-12.897949
1980-03-16,9.175293,68.47266,-9.466309
