,Tokyo,Paris,Boulder,Bogota,Sydney
1940-01-01,273.497735136121,271.7147258622158,260.0672756703419,285.6332418125603,295.37477799536475
1940-02-01,274.60031529650786,277.48234227470823,261.9660647672279,286.814196006965,295.60277518523475
1940-03-01,279.3098822497598,279.9760615389112,266.02013979960367,287.20250372096234,294.33988450072053
1940-04-01,285.43196304337823,283.09855430330254,270.23452535610676,286.44370057342627,293.49914486307495
1940-05-01,290.31787157317024,287.8597768698844,276.75738246004346,286.24954671642763,290.8451150747446
1940-06-01,294.3078223958951,291.7072294489405,284.2118218319646,285.7971147927794,288.86438948774907
1940-07-01,298.4812397073434,290.75961612854337,285.8737075987513,285.42661935924065,288.5811742284574
1940-08-01,297.23972375937944,291.38838962873166,285.14162287190317,285.87192637070547,287.46434424370364
1940-09-01,293.99610748786966,289.09238667761906,281.03767345424336,286.2637965407945,289.0336061521057
1940-10-01,289.6552547401106,283.84667008256343,275.95048615526923,286.3065460138951,291.49882576757494
1940-11-01,284.4772248107976,280.95573696413385,263.89157228480184,285.92358198403537,291.57719980159277
1940-12-01,277.5179668356254,274.206663898373,261.2802919695721,286.09279864839203,293.7022048603029
1941-01-01,275.55505352908847,272.15647041758893,259.3530032239523,285.978800053457,294.7745041439102
1941-02-01,275.4446173902452,277.1706273666828,263.09001966416514,286.77857144604786,294.9365958960834
1941-03-01,279.79081382214184,280.3536818846334,264.7465617468143,287.43762582301576,294.1528555559053
1941-04-01,284.9813123477758,281.0145174896472,269.1319451957198,287.5819052947304,292.8810587311618
1941-05-01,290.20921666237285,283.88941955566406,275.8026442274629,286.8088523228274,290.12549894421744
1941-06-01,293.4083022327361,291.0713310365687,280.839957141153,285.77752128427494,288.561580719953
1941-07-01,295.8753030762512,292.6619676815211,285.16834129259104,285.12915427558215,287.60149880323485
1941-08-01,298.02346409955754,289.6855356168902,284.68384726411733,285.9574253169067,287.6086237154183
1941-09-01,294.0477631011996,288.8946703645287,278.7238582226721,286.16226654218053,289.66416088033986
1941-10-01,289.44863228679094,284.06932358829584,273.52089110071717,286.43657566124284,289.54125614517557
1941-11-01,283.9962932384156,279.9172810133978,262.888740894983,286.4757626782518,292.4428766318804
1941-12-01,277.560716308726,276.49554193730216,260.2133363701024,286.1426730336761,292.63168680474143
1942-01-01,273.6402333797897,271.25695025442997,259.547157080951,285.74902163554117,295.56358816822586
1942-02-01,273.56542180186364,271.5971648111891,259.2158486644212,286.26735899688623,294.2793227471613
1942-03-01,282.2079402803729,281.04123591033505,262.27956090329917,286.2246095237856,293.42789574124055
1942-04-01,286.308327241941,284.5930046337785,271.96409778863614,286.4419193453804,292.71006083875926
1942-05-01,290.36952718650014,286.64319811456255,273.8379496928801,286.16226654218053,291.78025979882074
1942-06-01,295.27146676870495,290.17893578559324,281.8463509870635,285.57089883095523,288.6506421222459
1942-07-01,299.0672637344311,291.58076225768446,285.5281493578546,284.9118444539873,287.44296950715335
1942-08-01,298.77870479100187,293.0324631150598,285.3233081325808,284.97596866363824,288.4030514238715
1942-09-01,296.34554728035806,290.3855582389129,281.0145174896472,285.49608725302915,289.33285246381007
1942-10-01,288.7842342256854,286.55413671226955,274.5219412624901,285.7971147927794,289.8547522812468
1942-11-01,282.3557822081792,278.4317368231512,264.66284402865887,286.3867012759588,291.7143543611239
1942-12-01,276.9942857901428,277.66937121952344,261.9892207318241,286.0304556667869,291.92810172662706
1943-01-01,274.07485302297937,278.57067261072825,260.85279723856587,285.7614902318622,294.3452281848581
1943-02-01,274.9138114325791,277.71568314871575,262.8424289657907,285.6938035661195,294.7994413365522
1943-03-01,280.26462048234043,281.25854573192987,264.84809174542823,285.66530391738576,294.69791133793825
1943-04-01,285.3304330447642,285.1897160291413,273.6099525030101,285.4871811127999,292.4464390879721
1943-05-01,290.7845533211854,287.7671530114998,275.0491847640644,285.35715146545215,290.3285589414454
1943-06-01,293.67014275547746,289.7496598265411,281.92650624912716,284.9332191905376,288.53664352731096
1943-07-01,296.6412311359707,293.0004010102343,286.40273232837154,284.1672911308181,288.3157712496244
1943-08-01,298.64867514365415,292.093755934892,285.4640251482037,284.83168919192366,286.3884825040046
1943-09-01,295.7719918495914,289.3399773759935,280.91476871907906,285.49252479693746,289.02291878383056
1943-10-01,289.6463485998813,285.5922735675056,274.35984951031685,286.2994211017117,289.5626308817259
1943-11-01,282.7280588697638,278.5599852424531,264.6005010470538,286.2816088212531,291.30289068253046
1943-12-01,277.3808122760942,275.49449177552924,260.7726419765022,285.99483110586976,292.7082796107134
1944-01-01,274.75884459258936,277.69430841216547,258.96825796604674,285.5922735675056,295.2625606284756
1944-02-01,275.4107740573738,274.1656956533182,261.0398261833811,285.95920654495256,294.63200590024144
1944-03-01,280.49974258439386,276.85713123061157,263.8666350921598,286.09992356057546,293.82689082351305
1944-04-01,285.00446831237196,284.1370102540385,268.9983530922804,286.35642039917917,291.88000856938885
1944-05-01,291.51307559194186,286.0411430350621,274.8657182753409,286.3475142589499,289.9936880688239
1944-06-01,294.8991901071203,289.2758531663426,282.0048802831449,286.3065460138951,287.3396582804935
1944-07-01,297.74203006831175,291.66982365997745,285.1825911169579,285.69736602221127,287.90608879907677
1944-08-01,299.2667612755673,295.09512519216486,286.3777951357295,286.2584528566569,287.71727862621566
1944-09-01,296.3669220169084,287.95240072826914,282.22397133278565,286.4241070649218,289.1066365019859
1944-10-01,290.27334087202377,283.4672685087954,276.5561036908614,287.0136935481013,290.69905437498414
1944-11-01,283.94820008117745,280.4623367954308,266.16976295545584,286.54166811594854,293.14468048194897
1944-12-01,276.142858784222,276.11792159158,259.66471813197774,286.1729539104557,294.10119994257536
1945-01-01,273.2715191742968,269.219225369967,261.2642609171594,285.60117970773484,294.0637941536123
1945-02-01,273.48882899589165,279.9546868023609,262.9635524729091,285.9485191766774,294.8101287048274
1945-03-01,280.14884065935956,280.84530082529056,265.1509005132243,286.4650753099766,293.85717170029267
1945-04-01,286.1141733849423,284.6678162117046,268.1273325778552,285.978800053457,291.625292958831
1945-05-01,289.1404798348573,288.0147437098742,275.5033979157585,285.9218007559895,290.1486549088136
1945-06-01,293.33705311090176,291.17107980713683,279.45238049342856,285.81848952932967,288.6221424735122
1945-07-01,296.14604973922184,293.19633609527887,285.4408691836075,285.1914972571872,287.4875002082998
1945-08-01,298.4473963744721,291.48279471516224,285.0792798902981,285.99304987782386,288.826983698786
1945-09-01,295.1325309811279,289.68731684493605,280.3554631126792,286.7500717973141,289.4700070233412
1945-10-01,290.1842794697308,285.66530391738576,274.5433159990404,286.56838653663647,290.3499336779957
1945-11-01,283.77185850463735,278.3515815610875,263.29129843334727,286.3902637320505,292.4428766318804
1945-12-01,276.75738246004346,277.85640016433865,259.00388252696393,285.67955374175267,294.4788202882975
1946-01-01,275.72248896539924,273.7435446064496,259.27462918993456,285.6457104088813,295.5439946597214
1946-02-01,276.15354615249714,279.8406882074259,260.8563596946576,286.01620584242005,295.79692904223344
1946-03-01,278.51723576935245,279.3864750557318,266.9392534712671,286.0714239118417,294.15463678395116
1946-04-01,286.8373519715612,284.320476742762,273.20561373660007,285.8558953182927,291.7588850622704
1946-05-01,289.2687282541591,287.10453617844007,274.5629095075448,285.81136461714624,289.8600959653844
1946-06-01,295.6455246583354,288.60076773696187,282.5891230821868,285.3322142728101,287.5391558216298
1946-07-01,299.004920752826,293.32458451458075,286.73582197294724,284.83525164801534,287.70124757380296
1946-08-01,298.4848021634351,290.8486775308363,285.0614676098395,285.3749637459107,287.865120554022
1946-09-01,295.1895302785954,289.63566123160615,281.30485766112224,286.0660802277041,288.5045814224855
1946-10-01,290.0542498223831,283.98204341404875,270.70120710412186,286.30120232975753,290.0524685943372
1946-11-01,284.22250920023976,280.0722478533876,263.24854896024664,286.2655777688404,291.9583826034067
1946-12-01,275.9112991382603,273.9590731999985,261.83247266378845,285.827395669559,293.65233047501886
1947-01-01,274.95656090567974,273.91632372689793,258.7634167407729,285.81848952932967,294.63913081242487
1947-02-01,274.11760249608,273.81835618437566,262.58771335523284,286.2299532079232,295.2037801029623
1947-03-01,278.83251313346955,280.87201924597844,264.97812139277596,286.62360460605805,293.8856713490264
1947-04-01,285.34290164108523,284.91362568203317,269.72687536303687,286.35820162722507,292.11156821535053
1947-05-01,289.2099477286458,289.2758531663426,276.45279246420154,286.33682689067473,291.2797347179343
1947-06-01,291.6769485721609,292.12581803971744,280.18268399223086,286.06964268379585,288.1233986206716
1947-07-01,297.5656884917717,295.0238760703305,285.56021146268006,285.6421479527896,287.4465319632451
1947-08-01,299.71206828703214,295.5529007999507,285.11134199512355,285.70627216244054,287.60684248737243
1947-09-01,295.1164999287152,291.9601638314525,281.66644695443165,286.33682689067473,288.95166966199616
1947-10-01,288.2249286192856,285.68489742589026,274.3758805627296,286.4811063623893,290.0489061382455
1947-11-01,282.0975041415296,281.45804327306615,262.04800125733743,286.33682689067473,291.44717015424504
1947-12-01,276.4510112361557,277.3772498200025,259.30491006671417,285.67064760152334,293.4670827582495
1948-01-01,276.497323165348,279.4826613702082,260.6622058376589,285.5584302346342,293.5098322313501
1948-02-01,277.2151580678293,277.0299103510599,263.1345503653116,285.6688663734775,295.4834329061622
1948-03-01,279.75162680513296,282.56774834563646,265.2613366520676,285.9503004047233,293.82154713937547
1948-04-01,286.6164796938746,283.7967956972794,272.95267935408805,286.17829759459323,292.04388154960793
1948-05-01,290.74536630417646,287.4465319632451,276.57391597131993,286.3902637320505,289.88147070193475
1948-06-01,293.447489249745,289.0585433447477,282.43415624219705,285.6154295321017,288.5508933516778
1948-07-01,297.84356006692576,290.47640086925173,286.00373724609904,285.31618322039736,287.36815792922727
1948-08-01,297.6707809464774,290.62958648119564,285.6350230406062,285.50855584935016,288.16080440963464
1948-09-01,295.90736518107667,288.03433721837865,283.73267148762847,286.0090809302366,289.12623001049036
1948-10-01,289.9064078945768,283.7041718388947,275.12043388589876,286.22639075183145,291.00898805496365
1948-11-01,283.18761570559553,279.3900375118235,263.72235562044517,286.1551416299971,291.86753997306784
1948-12-01,279.05516663920196,277.54646648435914,262.21365546560236,285.5032121652126,293.9693890671818
1949-01-01,277.0495038595644,277.50727946735026,260.41995882342206,285.3535890093604,293.4831138106622
1949-02-01,278.3337692806289,277.58921595745977,262.57702598695766,285.3304330447642,293.9248583660353
1949-03-01,278.7345455909473,278.8236069932402,269.16400730054534,286.1123921568965,294.07091906579575
1949-04-01,284.4665374425225,285.2769962033885,273.9501670597692,286.38492004791294,291.8942583937557
1949-05-01,290.68124209452554,285.47471251647886,277.05662877174785,286.1070484727589,290.3285589414454
1949-06-01,292.19884838959763,290.39624560718806,281.8695069516596,285.6688663734775,288.5028001944396
1949-07-01,297.05981972674766,295.14321834940307,285.8701451426596,285.2752149753426,288.1127112523964
1949-08-01,298.77692356295603,293.1678364465451,285.5156807615336,285.83986426588,287.8971826588475
1949-09-01,295.1147187006693,292.409033299009,281.80360151396286,286.0233307546035,289.5394749171297
1949-10-01,289.0514184325643,286.2352968920608,273.29111268280127,286.40273232837154,291.9637262875442
1949-11-01,282.8331513244695,278.953636640588,270.95770394272563,286.33148320653714,292.3021596162575
1949-12-01,277.82077560342145,277.649777711019,261.52253898380894,285.8042397049628,294.0442006451079
1950-01-01,276.5489787786779,275.3519935318605,261.7540986297707,285.06324883788534,294.2027299411894
